Number,Name,ID
3145,TOS1,YBR162C
1368,YSY6,YBR162W-A
186,ARL1,YBR164C
3688,UBS1,YBR165W
2920,TYR1,YBR166C
3518,PEX32,YBR168W
753,SSE2,YBR169C
1663,NPL4,YBR170C
4332,SWD3,YBR175W
3239,ECM31,YBR176W
2982,EHT1,YBR177C
1389,FZO1,YBR179C
3087,RPS6B,YBR181C
4002,NA,YBR184W
900,MBA1,YBR185C
3128,PCH2,YBR186W
4495,NTC20,YBR188C
370,RPS9B,YBR189W
4572,MED8,YBR193C
3257,AIM4,YBR194W
3113,MSI1,YBR195C
979,NA,YBR196C-B
1335,KTR4,YBR199W
3006,BEM1,YBR200W
2907,DER1,YBR201W
3623,COS111,YBR203W
839,LDH1,YBR204C
4688,KTR3,YBR205W
2861,FTH1,YBR207W
45,"DUR1,2",YBR208C
4308,ERV15,YBR210W
1701,NGR1,YBR212W
4683,MET8,YBR213W
3245,SDS24,YBR214W
107,HPC2,YBR215W
3822,YBP1,YBR216C
456,ATG12,YBR217W
660,PYC2,YBR218C
4073,NA,YBR219C
3364,NA,YBR220C
364,PDB1,YBR221C
48,PCS60,YBR222C
3931,NA,YBR225W
4147,MCX1,YBR227C
3202,SLX1,YBR228W
3210,ROT2,YBR229C
3085,OM14,YBR230C
1600,DAD3,YBR233W-A
1458,VHC1,YBR235W
417,ABD1,YBR236C
1542,PRP5,YBR237W
3874,NA,YBR238C
412,ERT1,YBR239C
3784,THI2,YBR240C
2799,NA,YBR241C
276,NA,YBR242W
1084,GPX2,YBR244W
348,RRT2,YBR246W
3691,HIS7,YBR248C
874,SPO23,YBR250W
2789,DUT1,YBR252W
3381,TRS20,YBR254C
472,NA,YBR255C-A
3816,RIB5,YBR256C
4511,SHG1,YBR258C
1613,RGD1,YBR260C
1680,MIC12,YBR262C
4172,SHM1,YBR263W
3867,YPT10,YBR264C
469,TSC10,YBR265W
2972,REI1,YBR267W
1576,SDH8,YBR269C
270,BIT2,YBR270C
357,EFM2,YBR271W
1090,UBX7,YBR273C
1135,CHK1,YBR274W
3797,RIF1,YBR275C
4353,PPS1,YBR276C
3695,DPB3,YBR278W
425,PAF1,YBR279W
597,SAF1,YBR280C
618,DUG2,YBR281C
4545,MRPL27,YBR282W
865,SSH1,YBR283C
478,NA,YBR284W
919,NA,YBR285W
564,APE3,YBR286W
156,APM3,YBR288C
2847,SNF5,YBR289W
3071,BSD2,YBR290W
3410,PCA1,YBR295W
1662,PHO89,YBR296C
3484,MAL33,YBR297W
1597,NA,YBR298C-A
4307,MAL32,YBR299W
4222,COS2,YBR302C
334,NA,YCL001W-B
851,ILV6,YCL009C
1871,SGF29,YCL010C
4692,GBP2,YCL011C
21,BUD3,YCL014W
1479,NA,YCL021W-A
1883,FRM2,YCL026C-A
3293,FUS1,YCL027W
4669,RNQ1,YCL028W
121,BIK1,YCL029C
3302,RRP7,YCL031C
1514,STE50,YCL032W
3703,MXR2,YCL033C
4461,LSB5,YCL034W
997,ATG22,YCL038C
1558,GID7,YCL039W
711,GLK1,YCL040W
551,NA,YCL042W
767,MGR1,YCL044C
4220,KAR4,YCL055W
336,PEX34,YCL056C
90,PRD1,YCL057W
3959,KRR1,YCL059C
4480,MRC1,YCL061C
411,NA,YCL068C
3635,GEX1,YCL073C
4292,MRPL32,YCR003W
1068,YCP4,YCR004C
2967,CIT2,YCR005C
3733,RVS161,YCR009C
268,ADP1,YCR011C
179,PGK1,YCR012W
3777,POL4,YCR014C
905,CTO1,YCR015C
141,NA,YCR016W
4540,SRD1,YCR018C
3452,MAK32,YCR019W
279,MAK31,YCR020C-A
4361,HTL1,YCR020W-B
712,HSP30,YCR021C
4693,NA,YCR023C
872,SLM5,YCR024C
180,PMP1,YCR024C-A
4405,NA,YCR024C-B
1884,NPP1,YCR026C
4187,RHB1,YCR027C
3596,RIM1,YCR028C-A
4524,SYP1,YCR030C
379,RPS14A,YCR031C
1278,BPH1,YCR032W
4082,SNT1,YCR033W
3708,ELO2,YCR034W
1517,RRP43,YCR035C
809,RBK1,YCR036W
4268,PHO87,YCR037C
699,BUD5,YCR038C
3620,MATALPHA1,YCR040W
3253,NA,YCR043C
1651,RRT12,YCR045C
1489,IMG1,YCR046C
408,NA,YCR051W
1422,CTR86,YCR054C
4108,YIH1,YCR059C
1487,TAH1,YCR060W
909,HCM1,YCR065W
1243,RAD18,YCR066W
333,SED4,YCR067C
474,ATG15,YCR068W
1197,CPR4,YCR069W
4119,IMG2,YCR071C
558,SSK22,YCR073C
1715,ERS1,YCR075C
31,EGO2,YCR075W-A
1391,PTC6,YCR079W
3440,SRB8,YCR081W
844,CSM1,YCR086W
2992,NA,YCR087C-A
